'GMZP0.secondOffDiagonalEnergy_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteSignedDoubleStatistic_eq_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_statistic_eq_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_positive_safe_lag_statistic' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mem_rerootLabels_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.reroot_lag_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mem_rerootPairDomain_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lag_sum_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalLagSummand_zero_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalLagSummand_zero_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lag_sum_split_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fullLagNumerator_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fullLagStatistic_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagDiagonalStatistic_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSigned_le_full' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagLabels_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.blockLabels_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.zero_lag_row_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.zeroLagNumerator_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagDiagonalStatistic_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_lag_diagonal_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalLagSummand_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.rerooted_inner_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fullLagNumerator_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fullLagStatistic_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.signed_plus_diagonal_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalFieldExtension_property' depends on axioms: [propext, Quot.sound]
'GMZP0.norm_circleCharacter' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.rerootedOuterPhase_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.rerootedLagG_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagInnerInterval_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.rerootedLagB_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.rerootedWeightedSum_le_normSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSigned_le_rerootedNormSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.sum_original_integer_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.sum_rerootLabels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteRerootedNormAverage_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_positive_rerooted_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicRow_value' depends on axioms: [propext, Quot.sound]
'GMZP0.cyclicRow_injective' depends on axioms: [propext, Quot.sound]
'GMZP0.cyclicField_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicRow_range_iff' depends on axioms: [propext, Quot.sound]
'GMZP0.cyclicField_outside_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicField_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclic_original_weighted_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicField_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicField_reroot_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicLagG_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicLagP_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicLagB_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclic_weighted_B_norm_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalGap_bound' depends on axioms: [propext, Quot.sound]
'GMZP0.horizontalShiftLabels_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontal_shift_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicShiftLagP_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicShiftLagB_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicPairNormNumerator_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicPairNormNumerator_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicModulusAverage_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finite_to_cyclic_modulus_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclic_average_positive_of_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicField_property' depends on axioms: [propext, Quot.sound]
'GMZP0.cyclicLagG_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicShiftLagB_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_positive_cyclic_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.card_cyclicSamplingSpace' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicWeight_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicModulusAverage_as_uniform_mean' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_prime_cyclic_modulus' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_sum_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_sum_sub_sum_le_sdiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.sum_Icc_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_Icc_translate_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_Icc_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagInnerInterval_eq_Icc' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_lag_sum_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.complexUniformMean_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.complexUniformMean_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_complexUniformMean_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_complexUniformMean_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.complexUniformMean_sum_div' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_norm_mean_stability' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.card_smoothingShiftLabels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.card_fourShiftSpace' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fourShiftSum_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fourShiftSmoothedAverage_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_fourShiftSmoothedAverage_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.smoothingRadius_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicLagSequence_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclicSmoothedLagB_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cyclic_smoothed_average_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_positive_smoothed_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicFaceCoefficient_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.sum_cubicFaceCoefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicFacePhase_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
